Curs,Codi centre,Denominació completa,"Codi naturalesa (1,2)",Nom naturalesa,Codi titularitat,Nom titularitat,Codi delegació,Nom delegació,Codi comarca,Nom comarca,Codi municipi_5,Nom municipi,Codi ensenyament,Nom ensenyament,Torn,Nivell,Nombre grups,Nombre places,Places ofertades a la preinscripció
2024/2025,43008432,Institut Sant Pere i Sant Pau,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,15
2024/2025,43008432,Institut Sant Pere i Sant Pau,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,11
2024/2025,43008420,Institut Roquetes,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43133,Roquetes,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,21
2024/2025,43008420,Institut Roquetes,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43133,Roquetes,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,8
2024/2025,43008419,Institut Camarles,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43903,Camarles,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,15
2024/2025,43008419,Institut Camarles,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,09,Baix Ebre,43903,Camarles,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,13
2024/2025,43008407,Institut El Morell,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43095,El Morell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,23
2024/2025,43008407,Institut El Morell,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43095,El Morell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43008390,Institut Torreforta,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,14
2024/2025,43008390,Institut Torreforta,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43148,Tarragona,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,6
2024/2025,43007661,Institut Ramon de la Torre,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43153,Torredembarra,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,10
2024/2025,43007661,Institut Ramon de la Torre,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43153,Torredembarra,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,6
2024/2025,43007658,Institut Joan Guinjoan i Gispert,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43129,Riudoms,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,26
2024/2025,43007658,Institut Joan Guinjoan i Gispert,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43129,Riudoms,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43007646,Institut de Constantí,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43047,Constantí,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,42
2024/2025,43007646,Institut de Constantí,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43047,Constantí,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,0
2024/2025,43007580,Institut de L'Arboç,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43016,L'Arboç,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,3,105,12
2024/2025,43007580,Institut de L'Arboç,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43016,L'Arboç,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,102
2024/2025,43007543,Institut Jaume I,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43905,Salou,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,0
2024/2025,43007543,Institut Jaume I,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43905,Salou,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,0
2024/2025,43007543,Institut Jaume I,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43905,Salou,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,2,1,35,4
2024/2025,43007543,Institut Jaume I,1,Públic,01,Departament d'Educació,0143,Tarragona,36,Tarragonès,43905,Salou,BATXLOE 1000,Batxillerat d'arts,Matí i tarda,1,1,35,32
2024/2025,43007257,Institut Camí de Mar,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43037,Calafell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,1
2024/2025,43007257,Institut Camí de Mar,1,Públic,01,Departament d'Educació,1260,Penedès,12,Baix Penedès,43037,Calafell,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,3,105,38
2024/2025,43007233,Institut de Flix,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,30,Ribera d'Ebre,43060,Flix,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,1,35,8
2024/2025,43007233,Institut de Flix,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,30,Ribera d'Ebre,43060,Flix,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,1,35,6
2024/2025,43007221,Institut Els Alfacs,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43136,La Ràpita,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,5
2024/2025,43007221,Institut Els Alfacs,1,Públic,01,Departament d'Educació,0243,Terres de l'Ebre,22,Montsià,43136,La Ràpita,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,68
2024/2025,43007208,Institut Berenguer d'Entença,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43162,Vandellòs i l'Hospitalet de l'Infant,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,16
2024/2025,43007208,Institut Berenguer d'Entença,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43162,Vandellòs i l'Hospitalet de l'Infant,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,1,2,70,10
2024/2025,43007166,Institut Lluís Domènech i Montaner,1,Públic,01,Departament d'Educació,0143,Tarragona,08,Baix Camp,43123,Reus,BATXLOE 9999,Batxillerat (resta de modalitats),Matí i tarda,2,2,70,14
